iter	MultiClass
0	1.378992739
1	1.372250839
2	1.365012683
3	1.357109688
4	1.351164379
5	1.344660611
6	1.337555934
7	1.331098721
8	1.325113002
9	1.3191006
10	1.313123821
11	1.30705463
12	1.301703015
13	1.295047324
14	1.288104121
15	1.281779994
16	1.276813704
17	1.271093097
18	1.265577662
19	1.25980477
20	1.25491044
21	1.249699302
22	1.244027417
23	1.239223526
24	1.234506768
25	1.229554122
26	1.225005795
27	1.22049228
28	1.216036446
29	1.210700761
30	1.205465631
31	1.201217528
32	1.196164674
33	1.191626616
34	1.18674514
35	1.18256424
36	1.178477424
37	1.174444365
38	1.170414368
39	1.166399309
40	1.162073963
41	1.157568323
42	1.153495953
43	1.149252146
44	1.145042044
45	1.14098289
46	1.13782416
47	1.134284112
48	1.129706677
49	1.125501861
50	1.121644897
51	1.117619293
52	1.113538257
53	1.109090312
54	1.105100418
55	1.100360263
56	1.096008662
57	1.091595447
58	1.087583964
59	1.084185902
60	1.079883693
61	1.076358718
62	1.072015301
63	1.068647729
64	1.066120562
65	1.063101812
66	1.059266586
67	1.056282158
68	1.052358362
69	1.048936112
70	1.045297392
71	1.042842259
72	1.039291464
73	1.035725294
74	1.032796503
75	1.029832616
76	1.026271105
77	1.023037504
78	1.020340098
79	1.017913221
80	1.014670812
81	1.01168133
82	1.008469641
83	1.005242727
84	1.001925941
85	0.9990221783
86	0.9964461648
87	0.9933583158
88	0.9899716979
89	0.9870068462
90	0.9841557086
91	0.9811418026
92	0.9780433056
93	0.9744194102
94	0.9718267709
95	0.96857523
96	0.9659668545
97	0.9633035267
98	0.9603073407
99	0.9571238027
100	0.9549009461
101	0.9524017784
102	0.9497070846
103	0.9462632391
104	0.943635126
105	0.940820243
106	0.9380605212
107	0.9353805085
108	0.9331626716
109	0.9301264985
110	0.9274912999
111	0.9250861005
112	0.9230796901
113	0.9204980378
