iter	Passed	Remaining
0	48	48397
1	96	48132
2	144	48166
3	191	47600
4	237	47173
5	282	46751
6	329	46760
7	377	46774
8	422	46496
9	468	46404
10	515	46328
11	560	46152
12	606	46057
13	652	45936
14	701	46052
15	747	45997
16	792	45849
17	841	45901
18	887	45832
19	933	45762
20	981	45760
21	1030	45826
22	1078	45792
23	1125	45756
24	1171	45704
25	1217	45617
26	1263	45518
27	1308	45424
28	1354	45361
29	1399	45245
30	1447	45232
31	1492	45142
32	1538	45068
33	1584	45024
34	1631	44983
35	1677	44917
36	1723	44856
37	1768	44775
38	1816	44751
39	1865	44775
40	1911	44713
41	1958	44668
42	2003	44588
43	2049	44524
44	2094	44459
45	2141	44407
46	2187	44360
47	2233	44304
48	2280	44260
49	2325	44182
50	2370	44114
51	2418	44086
52	2463	44020
53	2509	43960
54	2558	43952
55	2603	43879
56	2650	43854
57	2699	43851
58	2749	43844
59	2795	43792
60	2844	43779
61	2890	43728
62	2935	43664
63	2985	43668
64	3032	43624
65	3082	43620
66	3126	43538
67	3174	43503
68	3221	43461
69	3271	43470
70	3317	43408
71	3364	43362
72	3411	43321
73	3457	43270
74	3502	43202
75	3549	43153
76	3595	43101
77	3641	43045
78	3686	42978
79	3733	42931
80	3779	42884
81	3825	42832
82	3873	42793
83	3919	42735
84	3967	42704
85	4013	42657
86	4059	42600
87	4105	42547
88	4153	42518
89	4201	42482
90	4248	42434
91	4296	42404
92	4345	42377
93	4391	42326
94	4438	42284
95	4484	42232
96	4531	42183
97	4576	42125
98	4622	42069
99	4668	42017
100	4715	41971
101	4761	41921
102	4806	41861
103	4857	41847
104	4904	41802
105	4954	41783
106	5001	41744
107	5047	41690
108	5097	41669
109	5144	41622
110	5190	41567
111	5241	41556
112	5288	41514
113	5338	41488
114	5385	41448
115	5432	41395
116	5479	41353
117	5526	41307
118	5572	41256
119	5619	41210
120	5669	41182
121	5717	41144
122	5763	41092
123	5809	41039
124	5856	40995
125	5905	40961
126	5951	40910
127	6001	40886
128	6051	40857
129	6099	40821
130	6148	40784
131	6199	40764
132	6245	40711
133	6294	40676
134	6340	40626
135	6387	40577
136	6432	40521
137	6479	40475
138	6526	40425
139	6572	40373
140	6618	40322
141	6665	40272
142	6711	40220
143	6757	40168
144	6807	40143
145	6855	40100
146	6901	40047
147	6948	39999
148	6999	39976
149	7048	39939
150	7094	39888
151	7145	39867
152	7193	39820
153	7239	39771
154	7286	39722
155	7333	39674
156	7379	39625
157	7430	39598
158	7479	39560
159	7526	39512
160	7574	39472
161	7621	39423
162	7667	39370
163	7712	39315
164	7758	39261
165	7805	39215
166	7853	39175
167	7900	39125
168	7947	39077
169	7993	39027
170	8041	38983
171	8088	38936
172	8135	38891
173	8185	38858
174	8232	38809
175	8278	38757
176	8327	38721
177	8374	38671
178	8419	38617
179	8470	38588
180	8518	38546
181	8565	38498
182	8612	38449
183	8660	38406
184	8708	38363
185	8755	38318
186	8803	38273
187	8849	38223
188	8896	38174
189	8944	38129
190	8992	38088
191	9045	38066
192	9092	38020
193	9141	37977
194	9186	37925
195	9234	37882
196	9284	37843
197	9331	37796
198	9380	37758
199	9428	37713
200	9476	37670
201	9524	37625
202	9573	37588
203	9622	37547
204	9674	37516
205	9720	37464
206	9766	37416
207	9813	37366
208	9859	37314
209	9906	37266
210	9953	37219
211	9999	37168
212	10046	37120
213	10093	37071
214	10139	37021
215	10187	36977
216	10234	36929
217	10282	36883
218	10327	36830
219	10375	36785
220	10423	36743
221	10470	36694
222	10516	36644
223	10563	36595
224	10610	36545
225	10657	36499
226	10704	36450
227	10750	36402
228	10801	36367
229	10853	36336
230	10900	36288
231	10947	36240
232	10993	36190
233	11041	36143
