Observation,file_path,Behavior,Time_Relative_sf,id
P13_CP_FT_balc1_JB_2EFA,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc1_JB_2EFA - Event Logs,Phase1_start,2.65598,P13
P13_CP_FT_balc1_JB_2EFA,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc1_JB_2EFA - Event Logs,Phase1_stop,12.66,P13
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase1_start,8.60682,P11
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase1_stop,18.61,P11
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase2_start,29.5,P11
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase2_stop,39.5,P11
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase3_start,44.83,P11
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase3_stop,54.8349,P11
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase4_start,62.1364,P11
P11_CP_FT_Balc1234_JP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P11_CP_FT_Balc1234_JP - Event Logs,Phase4_stop,72.14,P11
P13_CP_FT_balc1_JB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc1_JB - Event Logs,Phase1_start,2.55512,P13
P13_CP_FT_balc1_JB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc1_JB - Event Logs,Phase1_stop,12.56,P13
P13_CP_FT_balc2_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc2_SB - Event Logs,Phase2_start,2.0508,P13
P13_CP_FT_balc2_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc2_SB - Event Logs,Phase2_stop,12.0695,P13
P13_CP_FT_balc3_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc3_SB - Event Logs,Phase3_start,2.35338,P13
P13_CP_FT_balc3_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc3_SB - Event Logs,Phase3_stop,12.3721,P13
P13_CP_FT_balc4_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc4_SB - Event Logs,Phase4_start,2.01717,P13
P13_CP_FT_balc4_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P13_CP_FT_balc4_SB - Event Logs,Phase4_stop,12.0358,P13
P14_CP_FT_Balc1_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_Balc1_NP - Event Logs,Phase1_start,1.02042,P14
P14_CP_FT_Balc1_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_Balc1_NP - Event Logs,Phase1_stop,11.0273,P14
P14_CP_FT_balc2_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_balc234_NP - Event Logs,Phase2_start,1.58016,P14
P14_CP_FT_balc2_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_balc234_NP - Event Logs,Phase2_stop,11.3973,P14
P14_CP_FT_balc2_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_balc234_NP - Event Logs,Phase3_start,17.4489,P14
P14_CP_FT_balc2_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_balc234_NP - Event Logs,Phase3_stop,27.4342,P14
P14_CP_FT_balc2_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_balc234_NP - Event Logs,Phase4_start,37.9237,P14
P14_CP_FT_balc2_NP,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P14_CP_FT_balc234_NP - Event Logs,Phase4_stop,47.9089,P14
P16_CP_FT_balc1_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc1_SB - Event Logs,Phase1_start,3.49648,P16
P16_CP_FT_balc1_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc1_SB - Event Logs,Phase1_stop,13.5152,P16
P16_CP_FT_balc234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc234_SB - Event Logs,Phase2_start,0.06724,P16
P16_CP_FT_balc234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc234_SB - Event Logs,Phase2_stop,10.0861,P16
P16_CP_FT_balc234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc234_SB - Event Logs,Phase3_start,18.3567,P16
P16_CP_FT_balc234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc234_SB - Event Logs,Phase3_stop,28.3755,P16
P16_CP_FT_balc234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc234_SB - Event Logs,Phase4_start,39.9745,P16
P16_CP_FT_balc234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P16_CP_FT_balc234_SB - Event Logs,Phase4_stop,49.9934,P16
P17_CP_FT_balc1234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P17_CP_FT_balc1234_SB - Event Logs,Phase1_start,8.80855,P17
P17_CP_FT_balc1234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P17_CP_FT_balc1234_SB - Event Logs,Phase1_stop,18.8274,P17
P17_CP_FT_balc1234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P17_CP_FT_balc1234_SB - Event Logs,Phase2_start,37.285,P17
P17_CP_FT_balc1234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P17_CP_FT_balc1234_SB - Event Logs,Phase2_stop,47.3039,P17
P17_CP_FT_balc1234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P17_CP_FT_balc1234_SB - Event Logs,Phase3_start,56.1797,P17
P17_CP_FT_balc1234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P17_CP_FT_balc1234_SB - Event Logs,Phase3_stop,66.1986,P17
P17_CP_FT_balc1234_SB,/files/pathml/aim2/raw_labels/CP/FINAL FT Coding Project - P17_CP_FT_balc1234_SB - Event Logs,Phase4_start,82.1346,P17
