Keypoint,Observation
P20_Balc.h5,P20_CP_FT_balc1234_GB
P21_Balc.h5,P21_CP_FT_balc1234_GB
P22_Balc.h5,P22_CP_FT_balc1234_JP
P23_Balnc1234.h5,P23_CP_FT_balc1234_GS
P24_balc.h5,P24_CP_FT_balc1234_SB
P25_Balc.h5,P25_CP_FT_balc1234_JP
P26_Balc.h5,P26_CP_FT_balc1234_SB
P27_Balc.h5,P27_CP_FT_balc1234_EFA
P31_balc_1.h5,P31_CP_FT_balc1_JB
P31_balc_2.h5,P31_CP_FT_balc2_JB
P31_balc_3.h5,P31_CP_FT_balc3_JB
P31_balc_4.h5,P31_CP_FT_balc4_JB
P32_Balc1234.h5,P32_CP_FT_balc1234_NP
P34_Balc.h5,P34_CP_FT_balc1234_SB
P35_Balc.h5,P35_CP_FT_balc1234_GB
P36_balc.h5,P36_CP_FT_balc1234_NP
P37_balnc2.h5,P37_CP_FT_balc2_GS
P37_balnc1.h5,P37_CP_FT_balc1_GS
P37_balnc4.h5,P37_CP_FT_balc4_GS
P37_balnc3.h5,P37_CP_FT_balc3_GS
P39_Balc.h5,P39_CP_FT_balc1234_GB
P41_balc1234.h5,P41_CP_FT_balc1234_SB
P9_Balc.h5,P9_CP_FT_balc1234_GB
P17_Balc_2.h5,P17_CP_FT_balc1234_SB
P17_Balc.h5,P17_CP_FT_balc4_SB
P14_Balc_1.h5,P14_CP_FT_Balc1_NP
P14_Balc_2.h5,P14_CP_FT_balc2_NP
P18_Balc.h5,P18_CP_FT_balc1234_GB
P19_Balc.h5,P19_CP_FT_balc1234_JD
P16_Balc.h5,P16_CP_FT_balc1_SB
P16_Balc_2.h5,P16_CP_FT_balc234_SB
P13_Balc_2.h5,P13_CP_FT_balc2_SB
P13_Balc_1.h5,P13_CP_FT_balc1_JB_2EFA
P13_Balc_3.h5,P13_CP_FT_balc3_SB
P13_Balc_4.h5,P13_CP_FT_balc4_SB
P11_Balc.h5,P11_CP_FT_Balc1234_JP
