Observation,file_path,Behavior,Time_Relative_sf,id
1042_UWisc_FT_Balc123_GB,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1042_UWisc_FT_Balc123_GB - Event Logs,Phase1_start,5.56666,1042
1042_UWisc_FT_Balc123_GB,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1042_UWisc_FT_Balc123_GB - Event Logs,Phase1_stop,15.57,1042
1042_UWisc_FT_Balc123_GB,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1042_UWisc_FT_Balc123_GB - Event Logs,Phase2_start,55.6999,1042
1042_UWisc_FT_Balc123_GB,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1042_UWisc_FT_Balc123_GB - Event Logs,Phase2_stop,65.7,1042
1042_UWisc_FT_Balc123_GB,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1042_UWisc_FT_Balc123_GB - Event Logs,Phase3_start,93.0999,1042
1042_UWisc_FT_Balc123_GB,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1042_UWisc_FT_Balc123_GB - Event Logs,Phase3_stop,103.1,1042
1052_UWisc_FT_Balc123_JP,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1052_UWisc_FT_Balc123_JP - Event Logs,Phase1_start,1.76843,1052
1052_UWisc_FT_Balc123_JP,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1052_UWisc_FT_Balc123_JP - Event Logs,Phase1_stop,10.77,1052
1052_UWisc_FT_Balc123_JP,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1052_UWisc_FT_Balc123_JP - Event Logs,Phase2_start,51.2845,1052
1052_UWisc_FT_Balc123_JP,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1052_UWisc_FT_Balc123_JP - Event Logs,Phase2_stop,61.28,1052
1052_UWisc_FT_Balc123_JP,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1052_UWisc_FT_Balc123_JP - Event Logs,Phase3_start,82.3488,1052
1052_UWisc_FT_Balc123_JP,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1052_UWisc_FT_Balc123_JP - Event Logs,Phase3_stop,92.35,1052
1068_UWisc_FT_balc123_EF,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1068_UWisc_FT_balc123_EF - Event Logs,Phase1_start,3.83333,1068
1068_UWisc_FT_balc123_EF,/files/pathml/aim2/raw_labels/UWisc/FINAL FT Coding Project - 1068_UWisc_FT_balc123_EF - Event Logs,Phase1_stop,14.0667,1068
