Observation,file_path,Behavior,Time_Relative_sf,id
T01_VA_FT_balc1_GS,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T01_VA_FT_balc1_GS - Event Logs,Phase1_start,0.030407,T01
T01_VA_FT_balc1_GS,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T01_VA_FT_balc1_GS - Event Logs,Phase1_stop,10.03,T01
T01_VA_FT_balc4_GS,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T01_VA_FT_balc4_GS - Event Logs,Phase4_start,0.01,T01
T01_VA_FT_balc4_GS,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T01_VA_FT_balc4_GS - Event Logs,Phase4_stop,0.390172,T01
T01_VA_FT_balc2_GS,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T01_VA_FT_balc2_GS - Event Logs,Phase2_start,0.01,T01
T01_VA_FT_balc2_GS,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T01_VA_FT_balc2_GS - Event Logs,Phase2_stop,0.479862,T01
T04_VA_FT_balc1_JP,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc1_SB_2JP - Event Logs,Phase1_start,6.69999,T04
T04_VA_FT_balc1_JP,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc1_SB_2JP - Event Logs,Phase1_stop,16.7,T04
T04_VA_FT_balc2_JP,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc2_SB_2JP - Event Logs,Phase2_start,0.0,T04
T04_VA_FT_balc2_JP,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc2_SB_2JP - Event Logs,Phase2_stop,10.0,T04
T02_VA_FT_balc2_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T02_VA_FT_balc2_SB - Event Logs,Phase2_start,4.13333,T02
T02_VA_FT_balc2_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T02_VA_FT_balc2_SB - Event Logs,Phase2_stop,7.89999,T02
T04_VA_FT_balc3_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc3_SB - Event Logs,Phase3_start,8.79999,T04
T04_VA_FT_balc3_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc3_SB - Event Logs,Phase3_stop,18.8,T04
T04_VA_FT_balc1_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc1_SB - Event Logs,Phase1_start,0.0,T04
T04_VA_FT_balc1_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc1_SB - Event Logs,Phase1_stop,9.99999,T04
T02_VA_FT_balc1_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T02_VA_FT_balc1_SB - Event Logs,Phase1_start,8.89999,T02
T02_VA_FT_balc1_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T02_VA_FT_balc1_SB - Event Logs,Phase1_stop,18.9,T02
T04_VA_FT_balc4_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc4_SB - Event Logs,Phase4_start,6.83333,T04
T04_VA_FT_balc4_SB,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T04_VA_FT_balc4_SB - Event Logs,Phase4_stop,8.13333,T04
T03_VA_FT_balc4_SB_2JP,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T03_VA_FT_balc4_SB_2JP - Event Logs,Phase4_start,5.79999,T03
T03_VA_FT_balc4_SB_2JP,/files/pathml/aim2/raw_labels/VA/FINAL FT Coding Project - T03_VA_FT_balc4_SB_2JP - Event Logs,Phase4_stop,8.29999,T03
