Keypoint,Observation
blurred_T01_4SSBT01.h5,T01_VA_FT_balc1_GS
blurred_T01_4SSBT02.h5,T01_VA_FT_balc2_GS
blurred_T01_4SSBT03.h5,
blurred_T01_4SSBT04.h5,T01_VA_FT_balc4_GS
blurred_T02_4SSBT1.h5,T02_VA_FT_balc1_SB
blurred_T02_4SSBT2.h5,T02_VA_FT_balc2_SB
blurred_T02_SSBT3.h5,
blurred_T02_SSBT4_L.h5,
blurred_T02_SSBT4_R.h5,
blurred_T03_4SSB_1.h5,T03_VA_FT_balc1_SB
blurred_T03_4SSB_2.h5,T03_VA_FT_balc2_SB
blurred_T03_4SSB_3.h5,T03_VA_FT_balc3_SB
blurred_T03_4SSB_4.h5,T03_VA_FT_balc4_SB
blurred_T04_4SSB_1.h5,T04_VA_FT_balc1_JP
blurred_T04_4SSB_2.h5,T04_VA_FT_balc2_SB
blurred_T04_4SSB_3.h5,T04_VA_FT_balc3_SB
blurred_T04_4SSB_4.h5,T04_VA_FT_balc4_SB
blurred_T05_4SSB_1.h5,T05_VA_FT_balc1_JD
blurred_T05_4SSB_2.h5,T05_VA_FT_balc2_JD
blurred_T05_4SSB_3&4.h5,T05_VA_FT_balc34_JD
blurred_T06_4SSB.h5,T06_VA_FT_balc1234_SB
blurred_T07_SSB.h5,T07_VA_FT_balc1234_SB
blurred_T08_SSB.h5,T08_VA_FT_balc1234_GB
blurred_T10_4SSB.h5,T10_VA_FT_balc1234_GB
blurred_T10_4SSB_SLS.h5,T10_VA_FT_balc4_GB
blurred_T11_4SSB.h5,T11_VA_FT_balc1234_SB
blurred_T12_4SSB.h5,T12_VA_FT_balc1234_SB
blurred_T13_4SSB.h5,T13_VA_FT_balc1234_SB
blurred_T14_4SSB.h5,T14_VA_FT_balc1234_GB
blurred_T15_4SSB.h5,T15_VA_FT_balc1234_JP
blurred_T16_4SSB.h5,T16_VA_FT_balc1234_SB
blurred_T17_4SSB.h5,T17_VA_FT_1234balc_SB
blurred_T18_4SSB.h5,T18_VA_FT_balc1234_EFA
blurred_T19_4SSB.h5,T19_VA_FT_balc1234_GB
blurred_T20_4SSB.h5,T20_VA_FT_balc1234_JB
blurred_T21_4SSB.h5,T21_VA_FT_balc1234_JP
blurred_T22_4SSB.h5,T22_VA_FT_balc1234_GB
blurred_T23_4SSB.h5,T23_VA_FT_balc1234_JP
blurred_T24_4SSB.h5,T24_VA_FT_balc1234_JP
blurred_T25_4SSB.h5,T25_VA_FT_balc1234_JP
blurred_T26_4SSB.h5,T26_VA_FT_balc1234_JP
blurred_T27_4SSB.h5,T27_VA_FT_balc1234_GB
blurred_T28_4SSB.h5,T28_VA_FT_balc1234_EFA
blurred_T29_4SSB.h5,T29_VA_FT_balc1234_JB
blurred_T30_4SSB.h5,
blurred_T31_4SSB.h5,T31_VA_FT_blac1234_SB
blurred_T32_4SSB.h5,T32_VA_FT_balc1234_GB
blurred_T33_4SSB.h5,
blurred_T34_4SSB.h5,T34_VA_FT_blac1234_SB
blurred_T35_4SSB.h5,T35_VA_FT_balc1234_JP
blurred_T36_4SSB.h5,T36_VA_FT_balc1234_GB
blurred_T37_4SSB.h5,
blurred_T38_4SSB.h5,T38_VA_FT_balc1234_GS
blurred_T39_4SSB.h5,T39_VA_FT_balc1234_JP
blurred_T40_4SSB.h5,T40_VA_FT_balc1234_JD_2JP
blurred_T41_4SSB.h5,T41_VA_FT_balc1234_GB
blurred_T42_4SSB.h5,T42_VA_FT_balc1234_SB
blurred_T43_4SSB.h5,T43_VA_FT_balc1234_JP
blurred_T44_4SSB.h5,T44_VA_FT_balc1234_SB
blurred_T45_4SSB.h5,T45_VA_FT_balc1234_NP
blurred_T46_4SSB.h5,T46_VA_FT_balc123_EF
blurred_T47_4SSB.h5,T47_VA_FT_balc1234_JD
blurred_T48_4SSB.h5,
blurred_T49_4SSB.h5,T49_VA_FT_balc1234_GB
blurred_T50_4SSB.h5,T50_VA_FT_balc1234_GB
blurred_T51_4SSB.h5,T51_VA_FT_balc1234_GB
blurred_T52_4SSB.h5,T52_VA_FT_balc1234_NP
blurred_T53_4SSB.h5,T53_VA_FT_balc1234_GB
blurred_T54_4SSB.h5,T54_VA_FT_balc1234_JD
blurred_T55_4SSB.h5,T55_VA_FT_balc1234_JP
blurred_T56_4SSB.h5,T56_VA_FT_balc1234_NP
blurred_T57_4SSB.h5,T57_VA_FT_balc1234_EFA
blurred_T59_4SSB.h5,T59_VA_FT_balc1234_GB
blurred_T60_4SSB.h5,T60_VA_FT_balc1234_GB
