2026-05-29 23:05:02 | INFO |   ↳ Saved best (val_f1=0.2536)
2026-05-29 23:05:02 | INFO | [epoch 1] loss=2.7466  acc=0.5856  f1=0.5731  | val_loss=2.8730  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:05:23 | INFO | [epoch 2] loss=2.7389  acc=0.5536  f1=0.5428  | val_loss=3.0601  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:05:45 | INFO | [epoch 3] loss=2.7275  acc=0.5372  f1=0.5252  | val_loss=2.9460  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:06:06 | INFO | [epoch 4] loss=2.7195  acc=0.5375  f1=0.5169  | val_loss=2.9240  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:06:27 | INFO | [epoch 5] loss=2.7167  acc=0.5678  f1=0.5454  | val_loss=2.8005  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:06:48 | INFO | [epoch 6] loss=2.7208  acc=0.5613  f1=0.5325  | val_loss=2.8303  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:07:09 | INFO | [epoch 7] loss=2.7148  acc=0.5626  f1=0.5338  | val_loss=2.8046  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:07:30 | INFO | [epoch 8] loss=2.7178  acc=0.5568  f1=0.5380  | val_loss=2.8147  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:07:51 | INFO | [epoch 9] loss=2.7232  acc=0.5181  f1=0.4911  | val_loss=2.8513  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:08:12 | INFO | [epoch 10] loss=2.7195  acc=0.5408  f1=0.4918  | val_loss=2.7748  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:08:33 | INFO | [epoch 11] loss=2.7152  acc=0.5577  f1=0.5231  | val_loss=2.8695  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:08:54 | INFO | [epoch 12] loss=2.6597  acc=0.5755  f1=0.5468  | val_loss=2.8382  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:09:15 | INFO | [epoch 13] loss=2.6612  acc=0.5754  f1=0.5453  | val_loss=3.1430  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:09:36 | INFO | [epoch 14] loss=2.6673  acc=0.5904  f1=0.5637  | val_loss=2.9045  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:09:57 | INFO | [epoch 15] loss=2.6331  acc=0.6048  f1=0.5821  | val_loss=2.8306  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:10:19 | INFO | [epoch 16] loss=2.6483  acc=0.6192  f1=0.5678  | val_loss=2.8612  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:10:40 | INFO | [epoch 17] loss=2.5979  acc=0.6322  f1=0.6204  | val_loss=3.0875  val_acc=0.3398  val_f1=0.2536
2026-05-29 23:11:01 | INFO |   ↳ Saved best (val_f1=0.2537)
2026-05-29 23:11:01 | INFO | [epoch 18] loss=2.5893  acc=0.6443  f1=0.6211  | val_loss=3.5801  val_acc=0.3398  val_f1=0.2537
2026-05-29 23:11:22 | INFO |   ↳ Saved best (val_f1=0.5505)
2026-05-29 23:11:22 | INFO | [epoch 19] loss=2.6052  acc=0.6380  f1=0.6061  | val_loss=2.8929  val_acc=0.5519  val_f1=0.5505
2026-05-29 23:11:43 | INFO | [epoch 20] loss=2.5442  acc=0.6722  f1=0.6529  | val_loss=2.8218  val_acc=0.3511  val_f1=0.2741
2026-05-29 23:12:04 | INFO | [epoch 21] loss=2.5396  acc=0.6627  f1=0.6461  | val_loss=2.9859  val_acc=0.3468  val_f1=0.2672
2026-05-29 23:12:25 | INFO | [epoch 22] loss=2.5025  acc=0.6688  f1=0.6575  | val_loss=3.1555  val_acc=0.3399  val_f1=0.2538
2026-05-29 23:12:46 | INFO | [epoch 23] loss=2.5372  acc=0.6381  f1=0.6165  | val_loss=3.0818  val_acc=0.3404  val_f1=0.2552
2026-05-29 23:13:07 | INFO | [epoch 24] loss=2.4941  acc=0.6667  f1=0.6509  | val_loss=3.0885  val_acc=0.3418  val_f1=0.2581
2026-05-29 23:13:29 | INFO | [epoch 25] loss=2.5233  acc=0.6608  f1=0.6421  | val_loss=3.0834  val_acc=0.3858  val_f1=0.3376
2026-05-29 23:13:50 | INFO | [epoch 26] loss=2.4859  acc=0.6803  f1=0.6635  | val_loss=2.6616  val_acc=0.5315  val_f1=0.5288
2026-05-29 23:14:11 | INFO | [epoch 27] loss=2.4432  acc=0.6887  f1=0.6740  | val_loss=2.8364  val_acc=0.4453  val_f1=0.4181
2026-05-29 23:14:32 | INFO | [epoch 28] loss=2.4552  acc=0.6849  f1=0.6698  | val_loss=2.8526  val_acc=0.4353  val_f1=0.4070
2026-05-29 23:14:53 | INFO | [epoch 29] loss=2.4574  acc=0.6775  f1=0.6639  | val_loss=2.7607  val_acc=0.4365  val_f1=0.4106
2026-05-29 23:15:14 | INFO | [epoch 30] loss=2.4518  acc=0.6792  f1=0.6637  | val_loss=2.8422  val_acc=0.4878  val_f1=0.4798
2026-05-29 23:15:35 | INFO | [epoch 31] loss=2.4354  acc=0.6855  f1=0.6720  | val_loss=2.8575  val_acc=0.4719  val_f1=0.4551
2026-05-29 23:15:56 | INFO |   ↳ Saved best (val_f1=0.6337)
2026-05-29 23:15:56 | INFO | [epoch 32] loss=2.4248  acc=0.6914  f1=0.6751  | val_loss=2.6110  val_acc=0.6482  val_f1=0.6337
2026-05-29 23:16:17 | INFO | [epoch 33] loss=2.3873  acc=0.6990  f1=0.6856  | val_loss=2.7147  val_acc=0.4909  val_f1=0.4829
2026-05-29 23:16:38 | INFO | [epoch 34] loss=2.3867  acc=0.6944  f1=0.6813  | val_loss=2.9243  val_acc=0.4378  val_f1=0.4131
2026-05-29 23:16:59 | INFO | [epoch 35] loss=2.3962  acc=0.6933  f1=0.6775  | val_loss=2.7530  val_acc=0.5413  val_f1=0.5410
