2026-05-28 01:42:29 | INFO |   ↳ Saved best (val_f1=0.4295)
2026-05-28 01:42:29 | INFO | [epoch 1] loss=2.6641  acc=0.5782  f1=0.5607  | val_loss=2.7616  val_acc=0.6029  val_f1=0.4295
2026-05-28 01:46:12 | INFO | [epoch 2] loss=2.6385  acc=0.5644  f1=0.5495  | val_loss=2.7439  val_acc=0.3805  val_f1=0.2756
2026-05-28 01:49:56 | INFO | [epoch 3] loss=2.6067  acc=0.5661  f1=0.5568  | val_loss=2.7110  val_acc=0.3805  val_f1=0.2756
2026-05-28 01:53:42 | INFO | [epoch 4] loss=2.5757  acc=0.5868  f1=0.5743  | val_loss=2.6541  val_acc=0.3842  val_f1=0.2828
2026-05-28 01:57:29 | INFO | [epoch 5] loss=2.5166  acc=0.6337  f1=0.6157  | val_loss=2.5963  val_acc=0.3805  val_f1=0.2756
2026-05-28 02:01:16 | INFO | [epoch 6] loss=2.5071  acc=0.6300  f1=0.6161  | val_loss=2.6842  val_acc=0.3932  val_f1=0.2988
2026-05-28 02:05:02 | INFO | [epoch 7] loss=2.5002  acc=0.6593  f1=0.6330  | val_loss=2.7113  val_acc=0.3805  val_f1=0.2756
2026-05-28 02:08:46 | INFO | [epoch 8] loss=2.5272  acc=0.6099  f1=0.5940  | val_loss=2.7106  val_acc=0.3805  val_f1=0.2756
2026-05-28 02:12:30 | INFO | [epoch 9] loss=2.5134  acc=0.6170  f1=0.5991  | val_loss=2.6797  val_acc=0.4084  val_f1=0.3257
2026-05-28 02:16:15 | INFO | [epoch 10] loss=2.4703  acc=0.6577  f1=0.6406  | val_loss=2.6956  val_acc=0.4035  val_f1=0.3189
2026-05-28 02:20:03 | INFO | [epoch 11] loss=2.5127  acc=0.6430  f1=0.6271  | val_loss=2.7159  val_acc=0.3852  val_f1=0.2845
2026-05-28 02:23:42 | INFO | [epoch 12] loss=2.5040  acc=0.6366  f1=0.6212  | val_loss=2.6498  val_acc=0.4134  val_f1=0.3374
2026-05-28 02:27:22 | INFO | [epoch 13] loss=2.5052  acc=0.6414  f1=0.6281  | val_loss=2.7282  val_acc=0.3961  val_f1=0.3042
2026-05-28 02:31:02 | INFO | [epoch 14] loss=2.5254  acc=0.6439  f1=0.6271  | val_loss=2.6829  val_acc=0.4316  val_f1=0.3733
2026-05-28 02:34:46 | INFO | [epoch 15] loss=2.5433  acc=0.6439  f1=0.6248  | val_loss=2.7745  val_acc=0.3805  val_f1=0.2756
2026-05-28 02:38:26 | INFO |   ↳ Saved best (val_f1=0.4542)
2026-05-28 02:38:26 | INFO | [epoch 16] loss=2.5846  acc=0.6145  f1=0.5980  | val_loss=2.6676  val_acc=0.4773  val_f1=0.4542
2026-05-28 02:42:06 | INFO | [epoch 17] loss=2.4922  acc=0.6570  f1=0.6406  | val_loss=2.7308  val_acc=0.3805  val_f1=0.2756
2026-05-28 02:45:46 | INFO | [epoch 18] loss=2.5299  acc=0.6297  f1=0.6173  | val_loss=2.6969  val_acc=0.4180  val_f1=0.3432
2026-05-28 02:49:26 | INFO | [epoch 19] loss=2.5099  acc=0.6433  f1=0.6313  | val_loss=2.7737  val_acc=0.3805  val_f1=0.2756
2026-05-28 02:53:10 | INFO | [epoch 20] loss=2.5671  acc=0.5892  f1=0.5827  | val_loss=2.6326  val_acc=0.4416  val_f1=0.3876
2026-05-28 02:56:57 | INFO | [epoch 21] loss=2.4644  acc=0.6506  f1=0.6372  | val_loss=2.7157  val_acc=0.4008  val_f1=0.3123
2026-05-28 03:00:41 | INFO | [epoch 22] loss=2.5193  acc=0.6207  f1=0.6105  | val_loss=2.7483  val_acc=0.3805  val_f1=0.2756
2026-05-28 03:04:26 | INFO |   ↳ Saved best (val_f1=0.6385)
2026-05-28 03:04:26 | INFO | [epoch 23] loss=2.5494  acc=0.6303  f1=0.6182  | val_loss=2.5349  val_acc=0.6402  val_f1=0.6385
2026-05-28 03:08:10 | INFO | [epoch 24] loss=2.4496  acc=0.6823  f1=0.6677  | val_loss=2.6984  val_acc=0.4321  val_f1=0.3696
2026-05-28 03:11:51 | INFO | [epoch 25] loss=2.5146  acc=0.6577  f1=0.6349  | val_loss=2.6893  val_acc=0.4306  val_f1=0.3659
