2026-06-04 11:59:21 | INFO |   ↳ Saved best (val_f1=0.2756)
2026-06-04 11:59:21 | INFO | [epoch 1] loss=2.7383  acc=0.5871  f1=0.5638  | val_loss=2.7708  val_acc=0.3805  val_f1=0.2756
2026-06-04 12:03:43 | INFO |   ↳ Saved best (val_f1=0.3825)
2026-06-04 12:03:43 | INFO | [epoch 2] loss=2.6463  acc=0.5603  f1=0.5514  | val_loss=2.7684  val_acc=0.6195  val_f1=0.3825
2026-06-04 12:08:05 | INFO | [epoch 3] loss=2.6786  acc=0.5681  f1=0.5531  | val_loss=2.7366  val_acc=0.3805  val_f1=0.2756
2026-06-04 12:12:26 | INFO | [epoch 4] loss=2.5818  acc=0.5889  f1=0.5803  | val_loss=2.7616  val_acc=0.3805  val_f1=0.2756
2026-06-04 12:16:47 | INFO | [epoch 5] loss=2.6593  acc=0.5633  f1=0.5560  | val_loss=2.7494  val_acc=0.3805  val_f1=0.2756
2026-06-04 12:21:08 | INFO | [epoch 6] loss=2.5952  acc=0.5771  f1=0.5662  | val_loss=2.7585  val_acc=0.3890  val_f1=0.2946
2026-06-04 12:25:27 | INFO | [epoch 7] loss=2.6046  acc=0.6165  f1=0.5962  | val_loss=2.7591  val_acc=0.3805  val_f1=0.2756
2026-06-04 12:29:48 | INFO | [epoch 8] loss=2.6494  acc=0.5853  f1=0.5654  | val_loss=2.7242  val_acc=0.3805  val_f1=0.2756
2026-06-04 12:34:07 | INFO |   ↳ Saved best (val_f1=0.6973)
2026-06-04 12:34:07 | INFO | [epoch 9] loss=2.5244  acc=0.6391  f1=0.6210  | val_loss=2.6489  val_acc=0.7140  val_f1=0.6973
2026-06-04 12:38:27 | INFO | [epoch 10] loss=2.5041  acc=0.6760  f1=0.6560  | val_loss=2.6296  val_acc=0.6093  val_f1=0.6092
2026-06-04 12:42:48 | INFO | [epoch 11] loss=2.4879  acc=0.6715  f1=0.6523  | val_loss=2.6109  val_acc=0.6990  val_f1=0.6904
2026-06-04 12:47:06 | INFO | [epoch 12] loss=2.5093  acc=0.6739  f1=0.6550  | val_loss=2.5930  val_acc=0.6321  val_f1=0.6321
2026-06-04 12:51:26 | INFO | [epoch 13] loss=2.4909  acc=0.6690  f1=0.6514  | val_loss=2.5621  val_acc=0.6871  val_f1=0.6830
2026-06-04 12:55:46 | INFO | [epoch 14] loss=2.4858  acc=0.6810  f1=0.6638  | val_loss=2.5799  val_acc=0.6504  val_f1=0.6492
2026-06-04 13:00:08 | INFO | [epoch 15] loss=2.5029  acc=0.6750  f1=0.6556  | val_loss=2.5567  val_acc=0.6775  val_f1=0.6743
2026-06-04 13:04:31 | INFO | [epoch 16] loss=2.5175  acc=0.6714  f1=0.6519  | val_loss=2.5604  val_acc=0.6491  val_f1=0.6483
2026-06-04 13:08:55 | INFO | [epoch 17] loss=2.4890  acc=0.6727  f1=0.6554  | val_loss=2.5892  val_acc=0.6045  val_f1=0.6034
2026-06-04 13:13:13 | INFO | [epoch 18] loss=2.5105  acc=0.6622  f1=0.6452  | val_loss=2.5771  val_acc=0.6189  val_f1=0.6189
2026-06-04 13:17:33 | INFO | [epoch 19] loss=2.5103  acc=0.6702  f1=0.6523  | val_loss=2.6286  val_acc=0.6016  val_f1=0.6002
2026-06-04 13:21:51 | INFO | [epoch 20] loss=2.5112  acc=0.6636  f1=0.6460  | val_loss=2.5843  val_acc=0.6919  val_f1=0.6842
2026-06-04 13:26:13 | INFO | [epoch 21] loss=2.4832  acc=0.6731  f1=0.6601  | val_loss=2.6089  val_acc=0.6542  val_f1=0.6525
2026-06-04 13:30:34 | INFO | [epoch 22] loss=2.4911  acc=0.6673  f1=0.6528  | val_loss=2.5455  val_acc=0.7042  val_f1=0.6929
2026-06-04 13:34:55 | INFO |   ↳ Saved best (val_f1=0.7064)
