number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channel_masking_rate,params_lambda_smooth,params_lr,params_num_decoders,params_num_f_maps,params_num_layers,params_r1,params_r2,params_time_alignment,params_weight_decay,state
0,,2026-06-21 19:39:23.493497,2026-06-21 19:39:29.957662,0 days 00:00:06.464165,8,0.3832290311184182,0.2497327922401265,0.00010838581269344756,1,64,10,2,2,upsample_preds,0.00757947995334801,FAIL
1,0.724703311920166,2026-06-21 19:40:34.237324,2026-06-21 20:12:48.923268,0 days 00:32:14.685944,8,0.3832290311184182,0.2497327922401265,0.00010838581269344756,1,64,10,2,2,upsample_preds,0.00757947995334801,COMPLETE
2,0.39768049120903015,2026-06-21 20:12:48.951036,2026-06-21 20:18:51.487125,0 days 00:06:02.536089,32,0.3056937753654446,0.1822634555704315,0.0010150667045928574,2,128,6,4,2,downsample_labels,1.5339162591163623e-06,COMPLETE
3,0.713473916053772,2026-06-21 20:18:51.505449,2026-06-21 20:33:20.472923,0 days 00:14:28.967474,16,0.36500891374159283,0.16401308380298388,0.00033852267834519784,1,128,9,2,2,downsample_labels,0.00012030178871154674,COMPLETE
4,0.7396241426467896,2026-06-21 20:33:20.492442,2026-06-21 20:42:51.141512,0 days 00:09:30.649070,32,0.2427013306774357,0.04227726749242879,0.00030012301808980484,1,64,7,4,4,downsample_labels,0.00014817820606039095,COMPLETE
5,0.25359293818473816,2026-06-21 20:42:51.161456,2026-06-21 20:53:35.335901,0 days 00:10:44.174445,16,0.3493192507310232,0.09329469651469866,0.0003649100451857361,4,64,11,4,4,downsample_labels,1.7956984225677624e-06,COMPLETE
6,0.7379262149333954,2026-06-21 20:53:35.356492,2026-06-21 21:31:11.023255,0 days 00:37:35.666763,16,0.1431565707973218,0.094306794322898,0.00011308297976636003,4,128,9,4,2,upsample_preds,0.00035127047262708476,COMPLETE
7,0.25359293818473816,2026-06-21 21:31:11.044297,2026-06-21 21:45:35.241652,0 days 00:14:24.197355,8,0.17462802355441434,0.24223204654921876,0.0032842103509117325,4,128,7,2,2,upsample_preds,0.00014367095138664247,COMPLETE
8,0.6095224618911743,2026-06-21 21:45:35.261834,2026-06-21 22:22:02.827915,0 days 00:36:27.566081,8,0.2292811728083021,0.1090888807137882,0.0007610438922351135,2,64,9,2,4,downsample_labels,0.0006487477066058681,COMPLETE
9,0.3986906420905143,2026-06-21 22:22:02.847808,2026-06-21 22:30:53.403367,0 days 00:08:50.555559,8,0.2957811041110252,0.20164066422176355,0.004727053921131424,1,128,9,4,2,upsample_preds,9.294394155644998e-06,COMPLETE
10,0.711050808429718,2026-06-21 22:30:53.422863,2026-06-21 22:52:16.688153,0 days 00:21:23.265290,16,0.10663513157114246,0.19355183712283494,0.0007413627235366399,2,32,11,2,4,downsample_labels,8.053471030316104e-06,COMPLETE
11,0.5887200236320496,2026-06-21 22:52:16.708869,2026-06-21 22:58:05.712890,0 days 00:05:49.004021,32,0.4630659181130071,0.010624398975112616,0.0002716381563904919,3,32,7,4,4,downsample_labels,0.002885702455817911,PRUNED
12,0.7435922920703888,2026-06-21 22:58:05.731413,2026-06-21 23:10:00.088584,0 days 00:11:54.357171,32,0.1872448336277705,0.024260342383004053,0.00010179341908802777,3,64,8,4,4,upsample_preds,0.0005026037920196701,COMPLETE
