number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lambda_smooth,params_lr,params_num_layers,params_time_alignment,params_weight_decay,user_attrs_dropout_effective,state
0,0.7407092154026031,2026-06-21 19:40:09.526519,2026-06-21 19:44:38.837139,0 days 00:04:29.310620,32,0.07799726016810132,64,0.18033450352296262,0.00012551115172973836,2,downsample_labels,0.0029154431891537554,0.07799726016810132,COMPLETE
1,0.7453301250934601,2026-06-21 19:44:38.875494,2026-06-21 19:53:48.939560,0 days 00:09:10.064066,32,,256,0.04184815819561255,0.0003124565071260876,1,downsample_labels,0.0002801635158716264,0.0,COMPLETE
2,0.5718899667263031,2026-06-21 19:53:48.963632,2026-06-21 19:56:22.816093,0 days 00:02:33.852461,32,0.03252579649263976,256,0.24251920443493832,0.004093813608598782,2,downsample_labels,0.007286653737491046,0.03252579649263976,COMPLETE
3,0.7215625047683716,2026-06-21 19:56:22.838499,2026-06-21 20:05:45.041287,0 days 00:09:22.202788,8,0.15585553804470548,128,0.05545633665765811,0.0007648565112369955,2,downsample_labels,0.00015375920235481777,0.15585553804470548,COMPLETE
4,0.2966139353811741,2026-06-21 20:05:45.062778,2026-06-21 20:18:02.791428,0 days 00:12:17.728650,16,0.194338644844741,512,0.10702599800807679,0.00028907721743726757,3,downsample_labels,0.0020651425578959264,0.194338644844741,COMPLETE
5,0.28712591528892517,2026-06-21 20:18:02.811269,2026-06-21 20:23:52.882818,0 days 00:05:50.071549,32,0.35342867192380856,512,0.02221339552022711,0.001732053535845956,3,downsample_labels,0.0012164139351417069,0.35342867192380856,COMPLETE
6,0.6133230626583099,2026-06-21 20:23:52.902990,2026-06-21 20:28:43.390236,0 days 00:04:50.487246,16,,256,0.035878273781490506,0.00321623546920742,1,downsample_labels,7.742116473996259e-05,0.0,COMPLETE
7,0.743274986743927,2026-06-21 20:28:43.410966,2026-06-21 20:33:18.392607,0 days 00:04:34.981641,32,0.3182052056318902,64,0.2722699421778279,0.00034204353211648276,2,downsample_labels,0.00010821382910613992,0.3182052056318902,COMPLETE
8,0.7066523730754852,2026-06-21 20:33:18.413604,2026-06-21 20:43:38.297561,0 days 00:10:19.883957,8,,128,0.05597101766581075,0.00302402517740569,1,downsample_labels,0.0016394127471631608,0.0,COMPLETE
9,0.6216918230056763,2026-06-21 20:43:38.320547,2026-06-21 20:45:43.909886,0 days 00:02:05.589339,32,,512,0.1252233009446337,0.0001027570105825669,1,downsample_labels,0.00011040511903162256,0.0,COMPLETE
