combo,encoder,segmentor,status,enc_params,enc_trainable,seg_params,seg_trainable,total_params,trainable_params,enc_size_mb,seg_size_mb,total_size_mb,latency_ms,latency_std_ms,throughput_fps,peak_mem_mb
Identity+MS-TCN2,Identity,MS-TCN2,ok,0,0,865416,865416,865416,865416,0.000495,3.532986,3.533481,13.631907815933227,0.5036697085956715,8802.87642935362,3.7376
Identity+BiLSTM,Identity,BiLSTM,ok,0,0,630274,630274,630274,630274,0.000495,2.526852,2.527347,17.936332817077638,0.8747568581098002,6690.330806403467,5.953536
Identity+ASFormer,Identity,ASFormer,ok,0,0,1002056,1002056,1002056,1002056,0.000495,4.222046,4.222541,68.88342514038087,1.5843389353838855,1742.0736520497667,7.735296
GCN+MS-TCN2,GCN,MS-TCN2,ok,284004,284004,863176,863176,1147180,1147180,1.216629,3.524063,4.740692,28.914769859313964,0.34551751525045205,4150.128138106064,12.96896
GCN+BiLSTM,GCN,BiLSTM,ok,284004,284004,594434,594434,878438,878438,1.216629,2.383496,3.6001250000000002,33.8762752532959,0.6341249456777801,3542.302071368514,11.867648
GCN+ASFormer,GCN,ASFormer,ok,284004,284004,999816,999816,1283820,1283820,1.216629,4.213187,5.429816,78.50412063598633,0.7117029653892611,1528.582181773933,13.568512
MAMP+MS-TCN2,MAMP,MS-TCN2,ok,10368524,0,875464,875464,11243988,875464,41.53811,3.573185,45.111295000000005,104.59419631958008,1.2381488784278118,1147.2911903577192,85.884416
MAMP+BiLSTM,MAMP,BiLSTM,ok,10368524,0,791042,791042,11159566,791042,41.53811,3.169927,44.708037000000004,90.46181846618653,0.8625613129348573,1326.5265062613623,85.520384
MAMP+ASFormer,MAMP,ASFormer,ok,10368524,0,1012104,1012104,11380628,1012104,41.53811,4.26232,45.800430000000006,155.02742538452148,1.2980326626500232,774.0565883898195,86.483968
MAE+MS-TCN2,MAE,MS-TCN2,ok,10368524,0,875464,875464,11243988,875464,41.538108,3.573196,45.111304000000004,103.94723373413086,0.8458584190920062,1154.4318755699437,85.848064
MAE+BiLSTM,MAE,BiLSTM,ok,10368524,0,791042,791042,11159566,791042,41.538108,3.169921,44.708029,90.61706741333008,0.5994359005483809,1324.2538456099674,85.484032
MAE+ASFormer,MAE,ASFormer,ok,10368524,0,1012104,1012104,11380628,1012104,41.538108,4.262322,45.80043,155.08851669311522,1.3842127566238902,773.7516778076651,86.447616
